#cid	kind	verdict	declared_falsifiers
#producer	fb_ref.c	fixture_sha256	03d4b829eac9f031bc53cf6fcbf107445b85f07de649284e8cbf15e4ee20c917
REF.FIX.LINT	GRADED	PASS	EXT_FIXTUREFORBIDDEN
REF.K.UNIQUE	GRADED	PASS	EXT_SANDBOXDISP
REF.K.EQUALS.SEGOFFSET	GRADED	PASS	BREAK_SEGADDRBASE
REF.UNLEDGERED.00	UNLEDGERED	PASS	
REF.UNLEDGERED.01	UNLEDGERED	PASS	
REF.UNLEDGERED.02	UNLEDGERED	PASS	
REF.UNLEDGERED.03	UNLEDGERED	PASS	
REF.UNLEDGERED.04	UNLEDGERED	PASS	
REF.UNLEDGERED.05	UNLEDGERED	PASS	
REF.UNLEDGERED.06	UNLEDGERED	PASS	
REF.A1.SPOT.EXEC	GRADED	PASS	BREAK_MASKSPOT
REF.A1.SPOT.DELTA	GRADED	PASS	BREAK_MASKSPOT
REF.A1.CIRRUS.EXEC	GRADED	PASS	BREAK_MASKCIRRUS
REF.A1.CIRRUS.DELTA	GRADED	PASS	BREAK_MASKCIRRUS,BREAK_MASKCIRRUSADDR
REF.A1.CIRRUS.OFFBUF	PIN	PASS	
REF.UNLEDGERED.07	UNLEDGERED	PASS	
REF.UNLEDGERED.08	UNLEDGERED	PASS	
REF.A4.ALIAS8	GRADED	PASS	BREAK_SEGADDRBASE
REF.UNLEDGERED.09	UNLEDGERED	PASS	
REF.P0.ZONECOUNT	INVARIANT	PASS	
REF.P1.SILENT	GRADED	PASS	BREAK_POISONMAGIC
REF.P1.TAILPLUS1	GRADED	PASS	BREAK_WALKHIGHBITS,BREAK_POISONMAGIC
REF.P1.SUBPLUS1	GRADED	PASS	BREAK_WALKHIGHBITS,BREAK_POISONMAGIC
REF.P2.GLYPHEXP	GRADED	PASS	BREAK_DIGITN1
REF.C1.FIRED	GRADED	PASS	BREAK_CANSTUBCHECK,BREAK_CANSTUBPOISON,BREAK_PAD9WALK
REF.C1.WITNESS	GRADED	PASS	BREAK_CANWITLIT,BREAK_CANCONSTACTUAL
REF.C1.AT	GRADED	PASS	BREAK_CANSTUBCHECK,BREAK_CANSTUBPOISON
REF.UNLEDGERED.10	UNLEDGERED	PASS	
REF.UNLEDGERED.11	UNLEDGERED	PASS	
REF.UNLEDGERED.12	UNLEDGERED	PASS	
REF.UNLEDGERED.13	UNLEDGERED	PASS	
REF.UNLEDGERED.14	UNLEDGERED	PASS	
REF.UNLEDGERED.15	UNLEDGERED	PASS	
REF.UNLEDGERED.16	UNLEDGERED	PASS	
REF.UNLEDGERED.17	UNLEDGERED	PASS	
REF.UNLEDGERED.18	UNLEDGERED	PASS	
REF.UNLEDGERED.19	UNLEDGERED	PASS	
REF.S2.LADDERWROTE	GRADED	PASS	BREAK_IGNOREDST
REF.S2.NOCOMPOUND	GRADED	PASS	BREAK_SELFSOURCE,BREAK_DIV64
REF.E1.PAGESDIFFER	GRADED	PASS	EXT_FIXTUREORDER
REF.E1.RIGHTPAGE	GRADED	PASS	EXT_FIXTUREORDER
REF.E2.BATTERYWRAPPED	GRADED	PASS	BREAK_MASKSPOT,BREAK_MASKCIRRUS
REF.E2.CONTAINED	GRADED	PASS	BREAK_MASKSPOT,BREAK_MASKCIRRUS
