#ordinal	x	y	z	name	classtag	bodies
0	4342128	-4559934	-807862	FENIA	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1	4311056	-4586995	-631821	UNFRUITFUL	0	1,2,3
2	4273200	-4648925	-986128	DIALIS	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
4	3797488	-4355365	-1030058	LYONESSE	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
7	3997488	-4363426	-1144751	LLANFAIR	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
9	4142128	-4582625	-648170	AIRA	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
11	4273200	-4565722	-747991	FAIRY	2	1
14	4642128	-4525898	-1103723	SILENT KING	0	1,2
16	4373200	-4547211	-883866	CORAL	9	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
25	4066416	-4619160	-1022930	TWINKLE	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
27	4479984	-4563093	-636603	MOUSE	6	
28	4479984	-4463093	-575170	CHARON'S SHIP	6	
29	4379984	-4531379	-714766	BEACON	11	1,2
30	4204272	-4597716	-1038541	ELECTRA	1	1,2
34	4579984	-4773244	-735859	LAST HOPE	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
37	4304272	-4664874	-1062549	TORCH	5	1,2,3
41	4517840	-4425313	-473575	OBSTACLE	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
55	4211056	-4491175	-595767	ELMYRA	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
58	3666416	-4731653	-785554	VANESIA	0	1,2,3,4,5,6,7,8
61	4035344	-4684112	-921463	SOPHIA	0	1,2,3,4,5,6,7,8,9,10,11,12,13
62	3935344	-4324120	-784352	PORTAL	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
64	3497488	-4108808	-724805	ADRASTHEA	0	4,5
67	4517840	-4925313	-453040	GREY WIDOW	6	
68	4104272	-5030559	-914575	WILLOW	6	
70	4197488	-5171488	-1373321	ARCADIA	0	1,2,4,5,10
75	4373200	-4747211	-850301	GROAK	6	
77	4111056	-4595355	-531038	QUEEN	0	1,2,4,10
81	3973200	-4621255	-443356	SIBILLA	0	1,2,3,4,5
85	3979984	-5143407	-98451	MIRACLE	3	4
87	4362480	-5219787	451177	CHILD OF THE DAMNED	0	3,4,5
90	4079984	-5322487	-148429	NORWAY	0	1,2,3,4,5,6,7
93	5131408	-4786922	-285255	REMIGIA	0	5,7
95	4717840	-4843207	-729075	DILECTA SCRAMBLED	0	5
97	4066416	-4445367	-1188702	AREPONE	0	1,3,5,8,9,14,15
101	4266416	-4655884	-1181596	DESDEMONA	0	2,5
103	4279984	-4628393	-549462	SPYRA	0	2,3,4,6,7,10,17,18
106	1952848	-5085046	61557	BLUE FURY	1	1,2,3,4,5,6,7,8,9,10,11,24
108	3259632	-4697415	-785262	AMATERASU	0	1,2,3,4,5,6,7,8,9,10
114	4424624	-5286076	-32632	ATZEL	0	1,3,4,7
119	4642128	-5025898	-1054674	LANTERN	0	1
123	4366416	-5139783	-1340666	BLINK	11	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
124	4173200	-4684233	-677795	HEATER	0	3,4
133	4355696	-4964845	-249621	FORTUNE	0	3
