# work/su-corpus.txt -- generated by su-mkcorpus.py
# op id type colorbase ismoon plwp owner nsr nsg nsb seedlo seedhi secslo secshi emit
# secs = 1344168000  (2000-01-01 12:00:00 guest, elapsed run time NOT included -> types 2/3/5/6 are UNGRADED)
1 1 0 192 0 343 -1 48 32 63 -1217807670 1095178472 268435456 1104414616 1   # jrot_b01_t0
1 7 1 192 0 59 -1 48 32 63 1422245839 -1043231269 268435456 1104414616 1   # jrot_b07_t1
1 0 2 192 0 107 -1 63 58 40 -889110 1093610276 362178150 1104414616 1   # lane_b00_t2
1 3 3 192 0 102 -1 63 58 40 156828345 1099942819 354418688 1104414616 1   # lane_b03_t3
1 9 4 192 0 71 -1 63 58 40 -1788600823 -1042176831 268435456 1104414616 1   # lane_b09_t4
1 2 5 192 0 155 -1 63 58 40 1879551407 1101091155 314188322 1104414616 1   # lane_b02_t5
1 0 6 192 0 148 -1 48 32 63 -1291070802 1094885203 306289050 1104414616 1   # jrot_b00_t6
1 9 7 192 0 217 -1 30 50 63 1931348787 -1038157414 268435456 1104414616 1   # parsis_b09_t7
1 7 8 192 0 274 -1 63 58 40 16677767 1106013756 268435456 1104414616 1   # lane_b07_t8
1 2 9 192 0 323 -1 48 32 63 233271069 -1051071455 268435456 1104414616 1   # jrot_b02_t9
0
