# case	record	name	stored_hex	x	y	z
# records=4194 cases=4332
0	0	PITSTOP 3	c0f37797570b5e6b	-5497488	5077519	2856581
1	1	HALLUCINOGENIA	c0f15a7a1e539040	4867504	2585957	-5646997
2	2	DARK NIGHT	c0f15204548aa54b	4254608	-4294361	3882927
3	3	LOSANNE	c0f13697954a642a	2568176	-4269415	6430277
4	4	PITSTOP 2	c0f0c364afda1c0b	-5573200	5070536	2429740
5	5	GREAT LIFE	c0f079d5ff0907ec	3716752	-4366451	4158316
6	6	NOTHING 03	c0f02b5ba3869b33	3816752	-4301085	4034419
7	7	EOGILIE	c0eee156ce78990a	4265328	-5738799	2583670
8	8	MYSTAREI	c0eedbf3045abc29	4360720	2538280	-5709743
9	9	MANYMOON	c0edc3eed9fefbe0	2358544	-6213718	4159543
10	10	LIFE MOON	c0ec7859609a335e	4209968	-4265947	3246571
11	11	TINY S11	c0ec36679f298b73	4341040	-4324350	3077919
12	12	PIRIONIBA	c0ebe280634eac53	3858544	-5745947	2575799
13	13	BIG RED HALO	c0eb5daf2c375b80	4865328	-6237451	1846806
14	14	LISTA 58	c0eb5ab339aa0432	4533168	-1974707	6258223
15	15	OLD MAN AND THE SEA	c0eac5ccb83c9ae1	4687856	2665527	-4387974
16	16	PIRIK	c0ea7b34f0c7c707	3827472	-5259728	2693975
17	17	GREY GOLD 08	c0e9f784e0c56784	3478896	-3828726	3992582
18	18	ROCKY STAR	c0e93f72f61c0ce0	3534256	-4285443	3413977
19	19	LIFE FORM	c0e905f0b5bacf2b	3634256	-4255586	3313584
20	20	FALSE HOPE	c0e8ca3ca15aea2c	4674288	2159804	-5028940
21	21	BIG SUR	c0e83cb61018c9b4	-1696400	-6050665	-4835932
22	22	PABROLIA	c0e753fadfa920bf	4351760	-6255857	1754917
23	23	WANALE	c0e6fdcdcdfa949f	3951760	-5640032	2112631
24	24	AL FASEQ	c0e6c1b70187cc5a	4589616	-6076815	1671040
25	25	FUEL 06	c0e6162a3cb83e81	3996400	-4316211	2622327
26	26	XOVAN	c0e5e108a9222011	5778896	-4368741	1774831
27	27	STIRRUP	c0e5df4f0e577dc0	3630320	-2467979	4999632
28	28	ISOTOPE	c0e539be2e61bfce	4237104	-2139746	4794659
29	29	BRIEN	c0e4d19d52d35ee5	2938192	-6236203	2326941
30	30	USELESS	c0e4844d1d8672e1	4496400	-4321587	2162377
31	31	SALAT	c0e44f39df7442ca	5058544	-5844159	1406958
32	32	LISTA 74	c0e419d6ffd34c3d	3989616	-4532625	2276488
33	33	ASTRO BEHOMETH	c0e3fb4b903d90fe	3576048	-5740461	1993474
34	34	SIGUTT	c0e3f144ecc6369b	4158544	-4648509	2112777
35	35	ZEDINAVN	c0e3cd07ab36341c	4765328	-4381639	1942162
36	36	GLIENAR	c0e36e33dddd7edb	5472112	-4348283	1672402
37	37	TRIPLE STAR	c0e366612e3d30d8	3544976	-5434786	2062216
38	38	NOGAS3	c0e3508170f73a21	3782832	-5033628	2077374
39	39	ARGELY	c0e34b004ce200ed	3407120	-6208420	1867930
40	40	HOLDER	c0e3259534ba0e6b	3606032	-1981432	5488044
41	41	ALDRIN	c0e31bdad9d6c5b4	1776048	-6136152	3590978
42	42	NO PLANET	c0e31b30725222e8	4865328	-4337451	1854205
43	43	ILIUS	c0e2faa5bdeca5bc	4182832	-5592128	1661720
44	44	TABRAM	c0e2559deb36a788	4051760	-4476756	2070096
45	45	LISTA 75	c0e22916d4541a2a	3689616	-3941602	2557431
46	46	GIARIS	c0e1b89d69bdebc0	3751760	-4461391	2168286
47	47	FORTISSIMO	c0e189c6ee93f383	3520688	-3890216	2622488
48	48	RAN-J	c0e13a2a93195f99	5703184	-4943425	1251410
49	49	>LONG RUN WIND	c0e12ca4a90f1c57	-1358544	-5367143	-4823856
50	50	VINSJAMO RAESI	c0e118f3bb5b28b3	4251760	-4419133	1863614
51	51	CLEON	c0e1136b86cd22a8	4413904	-6249423	1267797
52	52	DELTA TRINARY	c0e0f3e44167751b	-1282832	-6217066	-4353250
53	53	NEW ENGLAND	c0e0e3bd21293078	-1127472	-5850016	-5244289
54	54	EMPTY	c0e0d8147c4c789d	2931408	-6222148	1891299
55	55	NAVAHO	c0e0cee1dd8fb2a1	-1127472	-6033147	-5060574
56	56	FEEDBACK	c0e085092a671e69	4681072	1513891	-4774099
57	57	FOCUS	c0e05f744dce307e	3654608	-2019716	4542800
58	58	KALPAK	c0df8c7b94e16e19	3585680	-2100909	4288481
59	59	FUEL 41	c0df554faf0fdb91	4979984	6086150	-1058607
60	60	CABRILLA	c0df2d2b5b8bf727	4385680	-2042094	3564625
61	61	MDIR -4	c0df0eff1ef65183	1923536	-2604344	6348672
62	62	STRATA	c0df06208766cfea	4376048	-5947629	1220593
63	63	MOLAR	c0df027b9be5382b	5258544	-4943861	1221422
64	64	MONIA	c0df015dcb508a23	3231408	-6205429	1583335
65	65	IKYAN	c0def11b3376af46	3507120	-4994985	1808677
66	66	UNDO	c0deeab17366e354	3538192	-5043669	1774051
67	67	ELDER	c0de8ca9a21d32bc	5765328	-5832975	930228
68	68	SOLO	c0de7b24c04cbde3	3844976	-4358971	1862310
69	69	ASTRA 1	c0de2de1936874e1	3069264	-5430715	1854030
70	70	OUTER RUN WIND	c0ddeabfea39428a	-1027472	-5805997	-5135362
71	71	LISTA 57	c0dd92dcb6d6b183	3978896	-2028624	3751813
72	72	VIERNES	c0dd58a65c6fcc53	4551760	-4429306	1490521
73	73	TORQUE	c0dd4c7e426652b8	4113904	-4534813	1608186
74	74	LISTA 94	c0dd342301c20b0e	5865328	-4801802	1061795
75	75	UMSAAD	c0dce5c388d6fe6b	-1776048	-4847969	-3436734
76	76	KINGLET	c0dcddfa070f4084	3378896	-2037877	4292895
77	77	APHID	c0dc97c23ebfb8ef	3609968	-2130117	3807588
78	78	GARIILD	c0dc8c9420b4dadb	4589616	-3976815	1601700
79	79	SIAM	c0dc2ce591752456	3707120	-4668114	1667215
80	80	TARVOLA	c0dc0e0d586a7424	4582832	-4950628	1266235
81	81	UNION 76	c0dbba8d5e81bcb8	-1189616	-4842327	-4929114
